Domain,Receive Time,Serial #,Type,Threat/Content Type,Config Version,Generate Time,Source address,Destination address,NAT Source IP,NAT Destination IP,Rule,Source User,Destination User,Application,Virtual System,Source Zone,Destination Zone,Inbound Interface,Outbound Interface,Log Action,Time Logged,Session ID,Repeat Count,Source Port,Destination Port,NAT Source Port,NAT Destination Port,Flags,IP Protocol,Action,Bytes,Bytes Sent,Bytes Received,Packets,Start Time,Elapsed Time (sec),Category,Padding,Sequence Number,Action Flags,Source Country,Destination Country,cpadding,pkts_sent,pkts_received,session_end_reason,dg_hier_level_1,dg_hier_level_2,dg_hier_level_3,dg_hier_level_4,Virtual System Name,Device Name,action_source,Source VM UUID,Destination VM UUID,Tunnel ID/IMSI,Monitor Tag/IMEI,Parent Session ID,parent_start_time,tunnel
1,2017/04/04 20:34:44,001606050200,TRAFFIC,end,1,2017/04/04 20:34:44,192.168.4.220,192.168.4.1,,,rule1,,,portmapper,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,2017/04/04 20:34:44,40190,1,779,443,0,0,0x10401c,tcp,allow,654,382,272,9,2017/04/04 20:34:28,0,any,0,15031591,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,5,4,tcp-fin,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,2017/04/04 20:34:37,001606050200,TRAFFIC,end,1,2017/04/04 20:34:37,192.168.4.220,192.168.4.1,,,rule1,,,ssl,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,2017/04/04 20:34:37,40177,1,60718,80,0,0,0x104053,tcp,allow,1492,849,643,8,2017/04/04 20:34:21,1,private-ip-addresses,0,15031586,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,5,3,tcp-rst-from-client,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,2017/04/04 20:34:36,001606050200,TRAFFIC,end,1,2017/04/04 20:34:36,192.168.4.220,192.168.4.1,,,rule1,,,web-browsing,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,2017/04/04 20:34:36,40173,1,44786,443,0,0,0x10401c,tcp,allow,628,356,272,9,2017/04/04 20:34:15,6,private-ip-addresses,0,15031583,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,5,4,tcp-fin,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,2017/04/04 20:34:36,001606050200,TRAFFIC,end,1,2017/04/04 20:34:36,192.168.4.220,192.168.4.1,,,rule1,,,web-browsing,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,2017/04/04 20:34:36,40175,1,60690,80,0,0,0x401c,tcp,allow,628,356,272,9,2017/04/04 20:34:17,4,private-ip-addresses,0,15031582,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,5,4,tcp-fin,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,2017/04/04 20:34:36,001606050200,TRAFFIC,end,1,2017/04/04 20:34:36,192.168.4.220,192.168.4.1,,,rule1,,,web-browsing,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,2017/04/04 20:34:36,40176,1,44798,443,0,0,0x10401c,tcp,allow,628,356,272,9,2017/04/04 20:34:19,2,private-ip-addresses,0,15031581,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,5,4,tcp-fin,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,2017/04/04 20:34:35,001606050200,TRAFFIC,end,1,2017/04/04 20:34:35,192.168.4.220,192.168.4.1,,,rule1,,,ssl,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,2017/04/04 20:34:35,40174,1,44788,443,0,0,0x401a,tcp,allow,1753,855,898,8,2017/04/04 20:34:15,5,private-ip-addresses,0,15031580,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,5,3,tcp-rst-from-client,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,2017/04/04 20:32:57,001606050200,TRAFFIC,end,1,2017/04/04 20:32:57,192.168.4.220,192.168.4.1,,,rule1,,,insufficient-data,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,2017/04/04 20:32:57,40127,1,60246,80,0,0,0x401c,tcp,allow,1117,408,709,10,2017/04/04 20:32:42,0,any,0,15031531,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,6,4,tcp-fin,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,2017/04/04 20:32:57,001606050200,TRAFFIC,end,1,2017/04/04 20:32:57,192.168.4.220,192.168.4.1,,,rule1,,,web-browsing,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,2017/04/04 20:32:57,40126,1,60244,80,0,0,0x401c,tcp,allow,1157,391,766,10,2017/04/04 20:32:42,0,private-ip-addresses,0,15031530,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,5,5,tcp-fin,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,2017/04/04 20:32:57,001606050200,TRAFFIC,end,1,2017/04/04 20:32:57,192.168.4.220,192.168.4.1,,,rule1,,,insufficient-data,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,2017/04/04 20:32:57,40120,1,60184,80,0,0,0x401a,tcp,allow,987,344,643,8,2017/04/04 20:32:37,5,any,0,15031529,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,5,3,tcp-rst-from-client,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
1,2017/04/04 20:32:52,001606050200,TRAFFIC,end,1,2017/04/04 20:32:52,192.168.4.220,192.168.4.1,,,rule1,,,ssl,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,2017/04/04 20:32:52,40119,1,44284,443,0,0,0x401a,tcp,allow,1753,855,898,8,2017/04/04 20:32:37,0,unknown,0,15031522,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,5,3,tcp-rst-from-client,0,0,0,0,,PA-200,from-policy,,,0,,0,,N/A
