Domain,Receive Time,Serial #,Type,Threat/Content Type,Config Version,Generate Time,Source address,Destination address,NAT Source IP,NAT Destination IP,Rule,Source User,Destination User,Application,Virtual System,Source Zone,Destination Zone,Inbound Interface,Outbound Interface,Log Action,Time Logged,Session ID,Repeat Count,Source Port,Destination Port,NAT Source Port,NAT Destination Port,Flags,IP Protocol,Action,URL/Filename,Threat/Content Name,Category,Severity,Direction,Sequence Number,Action Flags,Source Country,Destination Country,cpadding,contenttype,pcap_id,filedigest,cloud,url_idx,user_agent,filetype,xff,referer,sender,subject,recipient,reportid,dg_hier_level_1,dg_hier_level_2,dg_hier_level_3,dg_hier_level_4,Virtual System Name,Device Name,file_url,Source VM UUID,Destination VM UUID,http_method,Tunnel ID/IMSI,Monitor Tag/IMEI,Parent Session ID,parent_start_time,tunnel,thr_category,contentver,sig_flags
1,2017/04/04 20:34:23,001606050200,THREAT,vulnerability,1,2017/04/04 20:34:23,192.168.4.1,192.168.4.220,,,rule1,,,ssl,vsys1,untrust,trust,ethernet1/1,ethernet1/2,JASK,2017/04/04 20:34:23,40174,1,443,44788,0,0,0x6000,tcp,alert,rvs4000/,Use of insecure SSLv3.0 Found in Server Response(36815),private-ip-addresses,informational,server-to-client,1537601,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,,0,,,0,,,,,,,,0,0,0,0,0,,PA-200,,,,,0,,0,,N/A,info-leak,AppThreat-675-3915,0x0
1,2017/04/04 20:32:42,001606050200,THREAT,vulnerability,1,2017/04/04 20:32:42,192.168.4.1,192.168.4.220,,,rule1,,,ssl,vsys1,untrust,trust,ethernet1/1,ethernet1/2,JASK,2017/04/04 20:32:42,40114,3,443,44176,0,0,0x6000,tcp,alert,rvs4000/,Use of insecure SSLv3.0 Found in Server Response(36815),any,informational,server-to-client,1537584,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,,0,,,0,,,,,,,,0,0,0,0,0,,PA-200,,,,,0,,0,,N/A,info-leak,AppThreat-675-3915,0x0
1,2017/04/04 20:32:42,001606050200,THREAT,vulnerability,1,2017/04/04 20:32:42,192.168.4.220,192.168.4.1,,,rule1,,,web-browsing,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,2017/04/04 20:32:42,40116,1,60150,80,0,0,0x6000,tcp,alert,192.168.4.1/,HTTP OPTIONS Method(30520),private-ip-addresses,informational,client-to-server,1537583,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,,0,,,1,,,,,,,,0,0,0,0,0,,PA-200,,,,,0,,0,,N/A,info-leak,AppThreat-675-3915,0x0
1,2017/04/04 20:32:32,001606050200,THREAT,scan,1,2017/04/04 20:32:32,192.168.4.220,192.168.4.1,,,,,,not-applicable,vsys1,trust,untrust,ethernet1/2,,,2017/04/04 20:32:32,0,2,36957,42,0,0,0x6000,tcp,alert,,SCAN: TCP Port Scan(8001),any,medium,client-to-server,1537575,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,,0,,,0,,,,,,,,0,0,0,0,0,,PA-200,,,,,0,,0,,N/A,scan,AppThreat-0-0,0x0
1,2017/04/04 18:35:11,001606050200,THREAT,vulnerability,1,2017/04/04 18:35:11,192.168.4.106,72.163.10.15,,,rule1,,,web-browsing,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,2017/04/04 18:35:11,35778,1,50060,80,0,0,0x6000,tcp,alert,mcc-tags.cisco.com/cgi-bin/cdcpd,HTTP OPTIONS Method(30520),computer-and-internet-info,informational,client-to-server,1536642,0x0,192.168.0.0-192.168.255.255,United States,0,,0,,,1,,,,,,,,0,0,0,0,0,,PA-200,,,,,0,,0,,N/A,info-leak,AppThreat-675-3915,0x0
1,2017/04/04 18:34:58,001606050200,THREAT,vulnerability,1,2017/04/04 18:34:58,192.168.4.106,72.163.10.15,,,rule1,,,web-browsing,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,2017/04/04 18:34:58,35655,1,49998,80,0,0,0x6000,tcp,alert,mcc-tags.cisco.com/cgi-bin/cdcpd,HTTP OPTIONS Method(30520),computer-and-internet-info,informational,client-to-server,1536618,0x0,192.168.0.0-192.168.255.255,United States,0,,0,,,1,,,,,,,,0,0,0,0,0,,PA-200,,,,,0,,0,,N/A,info-leak,AppThreat-675-3915,0x0
1,2017/04/04 17:06:10,001606050200,THREAT,vulnerability,1,2017/04/04 17:06:10,192.168.4.106,72.163.10.15,,,rule1,,,web-browsing,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,2017/04/04 17:06:10,32298,1,65312,80,0,0,0x6000,tcp,alert,mcc-tags.cisco.com/cgi-bin/cdcpd,HTTP OPTIONS Method(30520),computer-and-internet-info,informational,client-to-server,1535677,0x0,192.168.0.0-192.168.255.255,United States,0,,0,,,1,,,,,,,,0,0,0,0,0,,PA-200,,,,,0,,0,,N/A,info-leak,AppThreat-675-3915,0x0
1,2017/04/03 19:02:56,001606050200,THREAT,scan,1,2017/04/03 19:02:56,192.168.4.35,192.168.2.2,,,,,,not-applicable,vsys1,trust,untrust,ethernet1/2,,,2017/04/03 19:02:56,0,1,58640,53,0,0,0x6000,udp,alert,,SCAN: Host Sweep(8002),any,medium,client-to-server,1525458,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,,0,,,0,,,,,,,,0,0,0,0,0,,PA-200,,,,,0,,0,,N/A,scan,AppThreat-0-0,0x0
1,2017/04/03 19:02:51,001606050200,THREAT,vulnerability,1,2017/04/03 19:02:51,192.168.4.35,40.114.54.223,,,rule1,,,web-browsing,vsys1,trust,untrust,ethernet1/2,ethernet1/1,JASK,2017/04/03 19:02:51,64699,1,54593,80,0,0,0x6000,tcp,alert,otf.msn.com/c.gif?,HTTP OPTIONS Method(30520),internet-portals,informational,client-to-server,1525443,0x0,192.168.0.0-192.168.255.255,United States,0,,0,,,2,,,,,,,,0,0,0,0,0,,PA-200,,,,,0,,0,,N/A,info-leak,AppThreat-675-3915,0x0
1,2017/04/03 17:50:32,001606050200,THREAT,vulnerability,1,2017/04/03 17:50:32,159.203.64.71,192.168.4.38,,,rule1,,,web-browsing,vsys1,untrust,trust,ethernet1/1,ethernet1/2,JASK,2017/04/03 17:50:32,62555,1,90,49242,0,0,0x106000,tcp,alert,empiredefault.bat,Empire Powershell Payload Detected(39054),unknown,high,server-to-client,1525159,0x0,United States,192.168.0.0-192.168.255.255,0,,0,,,1,,,,,,,,0,0,0,0,0,,PA-200,,,,,0,,0,,N/A,code-execution,AppThreat-675-3915,0x0
